Test ID,Drop Point,Result
0,-9,-5.9952
1,-8.982,-2.99453
2,-8.964,-8.9997
3,-8.946,-3.00128
4,-8.928,-3.00025
5,-8.91,NULL
6,-8.892,NULL
7,-8.874,NULL
8,-8.856,-8.99966
9,-8.838,NULL
10,-8.82,NULL
11,-8.802,-9
12,-8.784,NULL
13,-8.766,NULL
14,-8.748,NULL
15,-8.73,-9
16,-8.712,NULL
17,-8.694,NULL
18,-8.676,NULL
19,-8.658,NULL
20,-8.64,-5.99941
21,-8.622,NULL
22,-8.604,-8.99989
23,-8.586,NULL
24,-8.568,-8.99987
25,-8.55,-8.99964
26,-8.532,-8.99996
27,-8.514,-8.99966
28,-8.496,-8.99969
29,-8.478,-8.9996
30,-8.46,-8.99977
31,-8.442,-9
32,-8.424,-8.98923
33,-8.406,-8.99966
34,-8.388,-9
35,-8.37,-8.99969
36,-8.352,-8.99973
37,-8.334,-8.99969
38,-8.316,NULL
39,-8.298,-8.99998
40,-8.28,-9
41,-8.262,-9
42,-8.244,-9
43,-8.226,NULL
44,-8.208,NULL
45,-8.19,NULL
46,-8.172,NULL
47,-8.154,-8.99973
48,-8.136,-8.99962
49,-8.118,NULL
50,-8.1,NULL
51,-8.082,NULL
52,-8.064,NULL
53,-8.046,-8.99966
54,-8.028,-8.99964
55,-8.01,-9
56,-7.992,-9
57,-7.974,-9
58,-7.956,-8.99958
59,-7.938,-8.99994
60,-7.92,-9
61,-7.902,NULL
62,-7.884,NULL
63,-7.866,NULL
64,-7.848,NULL
65,-7.83,NULL
66,-7.812,NULL
67,-7.794,-2.99423
68,-7.776,NULL
69,-7.758,NULL
70,-7.74,NULL
71,-7.722,NULL
72,-7.704,NULL
73,-7.686,-9
74,-7.668,-5.99908
75,-7.65,NULL
76,-7.632,-9
77,-7.614,-6.00419
78,-7.596,-2.99813
79,-7.578,-6.00105
80,-7.56,NULL
81,-7.542,NULL
82,-7.524,-9
83,-7.506,NULL
84,-7.488,-8.99952
85,-7.47,-6.00528
86,-7.452,-8.99966
87,-7.434,-8.99985
88,-7.416,-9
89,-7.398,-9
90,-7.38,-9
91,-7.362,-8.99968
92,-7.344,-9
93,-7.326,-9
94,-7.308,-9
95,-7.29,-9
96,-7.272,-9
97,-7.254,-8.98966
98,-7.236,-8.9995
99,-7.218,-8.9996
100,-7.2,-9
101,-7.182,NULL
102,-7.164,-8.99966
103,-7.146,-8.9996
104,-7.128,-9
105,-7.11,-8.98933
106,-7.092,-9
107,-7.074,-5.99416
108,-7.056,NULL
109,-7.038,NULL
110,-7.02,-9
111,-7.002,NULL
112,-6.984,-9
113,-6.966,-8.99969
114,-6.948,NULL
115,-6.93,-9
116,-6.912,-9
117,-6.894,-8.99966
118,-6.876,-8.99958
119,-6.858,NULL
120,-6.84,-8.99956
121,-6.822,-9
122,-6.804,-8.99969
123,-6.786,-9
124,-6.768,NULL
125,-6.75,-8.99964
126,-6.732,-9
127,-6.714,NULL
128,-6.696,NULL
129,-6.678,NULL
130,-6.66,-6.00649
131,-6.642,NULL
132,-6.624,NULL
133,-6.606,NULL
134,-6.588,-6.00019
135,-6.57,NULL
136,-6.552,NULL
137,-6.534,-9
138,-6.516,-8.99966
139,-6.498,NULL
140,-6.48,NULL
141,-6.462,-6.00297
142,-6.444,-5.99863
143,-6.426,NULL
144,-6.408,NULL
145,-6.39,NULL
146,-6.372,NULL
147,-6.354,-6.00446
148,-6.336,NULL
149,-6.318,-5.99994
150,-6.3,NULL
151,-6.282,NULL
152,-6.264,NULL
153,-6.246,-2.99785
154,-6.228,NULL
155,-6.21,NULL
156,-6.192,-6.00005
157,-6.174,NULL
158,-6.156,NULL
159,-6.138,NULL
160,-6.12,NULL
161,-6.102,NULL
162,-6.084,-9
163,-6.066,NULL
164,-6.048,NULL
165,-6.03,-9
166,-6.012,NULL
167,-5.994,NULL
168,-5.976,NULL
169,-5.958,NULL
170,-5.94,-3.00068
171,-5.922,NULL
172,-5.904,NULL
173,-5.886,NULL
174,-5.868,NULL
175,-5.85,NULL
176,-5.832,NULL
177,-5.814,NULL
178,-5.796,NULL
179,-5.778,NULL
180,-5.76,NULL
181,-5.742,NULL
182,-5.724,-8.99971
183,-5.706,NULL
184,-5.688,-8.9996
185,-5.67,NULL
186,-5.652,-5.99557
187,-5.634,NULL
188,-5.616,0.00160299
189,-5.598,-9
190,-5.58,NULL
191,-5.562,-5.99672
192,-5.544,-6.00119
193,-5.526,NULL
194,-5.508,NULL
195,-5.49,NULL
196,-5.472,NULL
197,-5.454,-5.99779
198,-5.436,NULL
199,-5.418,-2.99521
200,-5.4,NULL
201,-5.382,NULL
202,-5.364,NULL
203,-5.346,-6.00096
204,-5.328,NULL
205,-5.31,-9
206,-5.292,NULL
207,-5.274,NULL
208,-5.256,NULL
209,-5.238,NULL
210,-5.22,-3.00149
211,-5.202,NULL
212,-5.184,NULL
213,-5.166,NULL
214,-5.148,NULL
215,-5.13,NULL
216,-5.112,NULL
217,-5.094,-6.00347
218,-5.076,-5.99967
219,-5.058,NULL
220,-5.04,NULL
221,-5.022,-2.99175
222,-5.004,-6.00153
223,-4.986,-8.99998
224,-4.968,NULL
225,-4.95,-9
226,-4.932,NULL
227,-4.914,0.00433743
228,-4.896,NULL
229,-4.878,NULL
230,-4.86,-2.99976
231,-4.842,-2.99894
232,-4.824,NULL
233,-4.806,NULL
234,-4.788,NULL
235,-4.77,NULL
236,-4.752,NULL
237,-4.734,NULL
238,-4.716,NULL
239,-4.698,NULL
240,-4.68,NULL
241,-4.662,-2.9999
242,-4.644,NULL
243,-4.626,-2.99973
244,-4.608,NULL
245,-4.59,NULL
246,-4.572,NULL
247,-4.554,-2.99176
248,-4.536,-6.00772
249,-4.518,-6.00089
250,-4.5,NULL
251,-4.482,-0.000138449
252,-4.464,NULL
253,-4.446,NULL
254,-4.428,-2.9992
255,-4.41,NULL
256,-4.392,NULL
257,-4.374,NULL
258,-4.356,-5.99933
259,-4.338,-5.99514
260,-4.32,NULL
261,-4.302,NULL
262,-4.284,-9
263,-4.266,NULL
264,-4.248,NULL
265,-4.23,NULL
266,-4.212,NULL
267,-4.194,NULL
268,-4.176,NULL
269,-4.158,NULL
270,-4.14,NULL
271,-4.122,NULL
272,-4.104,NULL
273,-4.086,NULL
274,-4.068,NULL
275,-4.05,-3.004
276,-4.032,-6.00082
277,-4.014,0.000794436
278,-3.996,NULL
279,-3.978,NULL
280,-3.96,NULL
281,-3.942,NULL
282,-3.924,NULL
283,-3.906,NULL
284,-3.888,NULL
285,-3.87,NULL
286,-3.852,NULL
287,-3.834,-6.00007
288,-3.816,NULL
289,-3.798,-9
290,-3.78,NULL
291,-3.762,NULL
292,-3.744,NULL
293,-3.726,NULL
294,-3.708,-6.00665
295,-3.69,NULL
296,-3.672,-5.99251
297,-3.654,NULL
298,-3.636,NULL
299,-3.618,NULL
300,-3.6,NULL
301,-3.582,NULL
302,-3.564,NULL
303,-3.546,NULL
304,-3.528,NULL
305,-3.51,NULL
306,-3.492,NULL
307,-3.474,NULL
308,-3.456,-6.00799
309,-3.438,-3.00062
310,-3.42,NULL
311,-3.402,-2.99969
312,-3.384,NULL
313,-3.366,3.00197
